"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COPYRIGHT";"CREATED_BY";"CTR-MAX";"CTR-MIN";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"IF";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"SPICEPREFIX";"TC-CTR";"TP_SIGNAL_NAME";"VALUE";"VCE";"VISO";
"1";"RAIN SENSOR";"PINHD-1X2";"1X02";"RAIN_SENSOR";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"1";"RGB_LED";"PINHD-1X4";"1X04";"RGB_LED";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"SMTU2032LF";"SMTU2032LF";"SMTU2032LF";"BATT1";"Battery holder for CR2032";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"STEPPER_0";"PINHD-1X4";"1X04";"STEPPER_0";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"STEPPER_1";"PINHD-1X4";"1X04";"STEPPER_1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"STEPPER_2";"PINHD-1X4";"1X04";"STEPPER_2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"SUPRESSOR_TVS-UD-SMAJ";"SUPRESSOR_TVS-UD-SMAJ";"SUPRESSOR_SMAJ";"TVS25V";"TVS UNI-DIRECTIONAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TELEMETRY_UART";"PINHD-1X2";"1X02";"NAVIGATION_UART";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"1";"TEMP SENSOR 0";"PINHD-1X3";"1X03";"TEMP_SENSOR_0";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"TEMP SENSOR 1";"PINHD-1X3";"1X03";"TEMP_SENSOR_1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"TEMP SENSOR 2";"PINHD-1X3";"1X03";"TEMP_SENSOR_2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"TEMP SENSOR 3";"PINHD-1X3";"1X03";"TEMP_SENSOR_3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"TILT SENSOR";"PINHD-1X2";"1X02";"TILT_SENSOR";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"4";"TLI4971A050T5UE0001XUMA1";"TLI4971A050T5UE0001XUMA1";"IC_TLI4971A050T5UE0001XUMA1";"CURRENT_SENSOR_BATT, MAIN_MOTOR_CS, STEPPER_0_CS, STEPPER_1_CS";"Current Sensor 50A 1 Channel Hall Effect, Open Loop Unidirectional 8-PowerTDFN   Check availability";"";"";"In Stock";"";"";"";"";"";" Current Sensor 50A 1 Channel Hall Effect, Open Loop Unidirectional 8-PowerTDFN ";"";"";"";"";"";"";"Infineon Technologies";"";"";"";"";"TLI4971A050T5UE0001XUMA1";"";"";"";"PowerTDFN-8 Infineon Technologies";"";"";"None";"";"https://pricing.snapeda.com/search/part/TLI4971A050T5UE0001XUMA1/?ref=eda";"";"";"";"";"";"";"";
"26";"TPB1,27";"TPB1,27";"B1,27";"BATT, BATT_POS, CP2102_RX, CP2102_TX, CS_BATT, CS_MAIN_MOT, CS_STEP0, CS_STEP1, GPS_RX, GPS_TX, LIDAR_RX, LIDAR_TX, MCU0_RX, MCU0_TX, MCU1_RX, MCU1_TX, MCU3_RX, MCU3_SCL, MCU3_SDA, MCU3_TX, MPU6050_SCL, MPU6050_SDA, PERIM, TILT, TP2, TP3";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";
"6";"TSR_1-2433E";"TSR_1-2433E";"CONV_TSR_1-2433E";"3V3_REG0, 3V3_REG1, 3V3_REG2, 3V3_REG3, 5V_REG0, 5V_REG1";"Check availability";"";"";"In Stock";"";"";"";"";"";" 1 Amp POL converter, industrial, 6-36 VDC input, pos.-pos. circuit, cost efficient, LM78 compatible, SIP-3 ";"";"";"";"";"";"";"Traco Power";"";"";"";"";"TSR 1-2433E";"";"";"";"NON-STANDARD-3 Traco Power";"";"";"None";"";"https://pricing.snapeda.com/search/part/TSR 1-2433E/?ref=eda";"";"";"";"";"";"";"";
"1";"V_OUTPUT";"PINHD-1X5";"1X05";"UNLIMITED_POWER";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";"";"";
"2";"XT60-M";"XT60-M";"AMASS_XT60-M";"BATTERY_INPUT, EXTERNAL_INPUT";"DC supply; XT60; male; PIN:2; for cable; soldered; 60A; 500V Check availability";"";"";"In Stock";"";"";"";"";"";" Plug";" DC supply";" XT60";" male";" PIN: 2";" for cable";" soldered";" 30A";" 500V ";"";"";"";"";"";"";"AMASS";"";"";"";"";"XT60-M";"";"";"";"Package ";"";"";"None";"";
"2";"nc";"R-EU_R0603";"R0603";"R101, R102";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
